CNUC;N_REFERENCIA;UNIDADE;ACAO_MANEJO;INSTRUMENTO;APOIO;NOTA_INSUMO;ORDEM;NOTA_PESSOAL;NOTA_EQUIPAMENTO;NOTA_CAPACIDADE;NOTA_RECURSO;NOTA_APOIO;BIOMA
0000.53.1639;101200000531639 ;APA DA BACIA DOS RIBEIRÕES DO GAMA E CABEÇA DE VEADO;Monitorar o Plano de Manejo;PLANO DE MANEJO;Não foi necessário apoio externo;0,400225;1;0,25;0,25;0,25;0,25;0;Cerrado
0000.53.1640;101200000531640 ;APA DE CAFURINGA;Avaliar a gestão da unidade de conservação;PLANO DE AÇÃO;Pouco apoio externo;0,300129;1;0,25;0,25;0,25;0;0,75;Cerrado
0000.53.1636;101200000531636 ;APA DO LAGO PARANOÁ;Avaliar a gestão da unidade de conservação;PLANO DE AÇÃO;Pouco apoio externo;0,300129;1;0,25;0,25;0,25;0;0,75;Cerrado
0000.26.1928;101200000261928 ;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Garantir infraestrutura para realização das atividades;PLANO DE MANEJO;Moderado apoio externo;0,300209;18;0,25;0,25;0,5;0;0,5;Mata Atlântica
0000.26.1928;102200000261928 ;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Implantar ações de Educação Ambiental;PLANO DE MANEJO;Moderado apoio externo;0,650207;5;0,75;0,75;0,75;0,5;0,5;Mata Atlântica
0000.26.1928;103200000261928 ;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Gerir atividades de pesquisa e gestão do conhecimento;PLANO DE MANEJO;Moderado apoio externo;0,600156;9;0,75;0,5;0,75;0,5;0,5;Mata Atlântica
0000.26.1928;104200000261928 ;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Realizar a fiscalização;PLANO DE MANEJO;Moderado apoio externo;0,500139;14;0,25;0,5;0,5;0,75;0,5;Mata Atlântica
0000.26.1928;105200000261928 ;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Elaborar e acompanhar parcerias para a gestão da UC;PLANO DE MANEJO;Moderado apoio externo;0,400223;15;0,25;0,5;0,25;0,5;0,5;Mata Atlântica
0000.26.1928;106200000261928 ;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Revisar o Plano de Manejo;LEGISLAÇÃO - AMPARO LEGAL;Moderado apoio externo;0,400126;17;0,5;0,5;0,5;0;0,5;Mata Atlântica
0000.26.1928;107200000261928 ;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Realizar o monitoramento para proteção ambiental;LEGISLAÇÃO - AMPARO LEGAL;Moderado apoio externo;0,400194;16;0,25;0,5;0,25;0,5;0,5;Mata Atlântica
0000.26.1928;108200000261928 ;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Avaliar impactos ambientais em processo de licenciamento ambiental;LEGISLAÇÃO - AMPARO LEGAL;Pouco apoio externo;0,750151;2;0,5;1;0,5;1;0,75;Mata Atlântica
0000.26.1928;109200000261928 ;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Avaliar a gestão da unidade de conservação;OUTRO INSTRUMENTO;Moderado apoio externo;0,550129;13;0,25;0,5;0,5;1;0,5;Mata Atlântica
0000.26.1928;110200000261928 ;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Realizar a conversão de multas;LEGISLAÇÃO - AMPARO LEGAL;Moderado apoio externo;0,600212;7;0,5;0,75;0,5;0,75;0,5;Mata Atlântica
0000.26.1928;111200000261928 ;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Realizar compensação ambiental;PLANO DE MANEJO;Moderado apoio externo;0,600186;8;0,5;0,75;0,5;0,75;0,5;Mata Atlântica
0000.26.1928;112200000261928 ;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Organizar e participar em eventos;PLANO DE MANEJO;Moderado apoio externo;0,650219;4;0,75;0,75;0,75;0,5;0,5;Mata Atlântica
0000.26.1928;113200000261928 ;ÁREA DE PROTEÇÃO AMBIENTAL ALDEIA-BEBERIBE;Gerenciar o acervo de fotos e vídeos;SEM INSTRUMENTO;Pouco apoio externo;0,750218;1;0,75;0,75;0,75;0,75;0,75;Mata Atlântica
