;codigo_cnuc;nome_da_uc;categoria_da_uc:_sigla_federal;categoria_da_uc:_nomenclatura_nacional;grupo_de_protecao;ano_de_criacao;coordenacao_regional_do_icmbio;area_estimada_da_uc_(ha);bioma;area_queimada_em_2019;area_queimada_em_2018;area_queimada_em_2017;area_queimada_em_2016;area_queimada_em_2015;area_queimada_em_2014;area_queimada_em_2013;area_queimada_em_2012
0;0000.00.0001;AREA DE PROTECAO AMBIENTAL ANHATOMIRIM;APA;AREA DE PROTECAO AMBIENTAL;USO SUSTENTAVEL;1992;CR9 FLORIANOPOLIS/SC;4437;MARINHO COSTEIRO;;;;;;;;
1;0000.00.1521;AREA DE PROTECAO AMBIENTAL BACIA HIDROGRAFICA DO RIO PARAIBA DO SUL;APA;AREA DE PROTECAO AMBIENTAL;USO SUSTENTAVEL;1982;CR8 RIO DE JANEIRO/RJ;292600;MATA ATLANTICA;;;182.1;;;;;
2;0000.00.0007;AREA DE PROTECAO AMBIENTAL BARRA DO RIO MAMANGUAPE;APA;AREA DE PROTECAO AMBIENTAL;USO SUSTENTAVEL;1993;CR6 CABEDELO/PB;14918;MARINHO COSTEIRO;;;;;;;;
3;0000.00.0020;AREA DE PROTECAO AMBIENTAL CARSTE DA LAGOA SANTA;APA;AREA DE PROTECAO AMBIENTAL;USO SUSTENTAVEL;1990;CR11 LAGOA SANTA/MG;39957;CERRADO;;;;;;;;
4;0000.00.0002;AREA DE PROTECAO AMBIENTAL CAVERNAS DO PERUACU;APA;AREA DE PROTECAO AMBIENTAL;USO SUSTENTAVEL;1989;CR11 LAGOA SANTA/MG;143356;CERRADO;;;260.7;;;;;
5;0000.00.0008;AREA DE PROTECAO AMBIENTAL CHAPADA DO ARARIPE;APA;AREA DE PROTECAO AMBIENTAL;USO SUSTENTAVEL;1997;CR6 CABEDELO/PB;972605;CAATINGA;;;;;;;;
6;0000.00.1912;AREA DE PROTECAO AMBIENTAL COSTA DAS ALGAS;APA;AREA DE PROTECAO AMBIENTAL;USO SUSTENTAVEL;2010;CR7 PORTO SEGURO/BA;114805;MATA ATLANTICA;;;;;;;;
7;0000.00.0009;AREA DE PROTECAO AMBIENTAL COSTA DOS CORAIS;APA;AREA DE PROTECAO AMBIENTAL;USO SUSTENTAVEL;1997;CR6 CABEDELO/PB;404286;MARINHO COSTEIRO;;;;;;;;
8;0000.00.0003;AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO DESCOBERTO;APA;AREA DE PROTECAO AMBIENTAL;USO SUSTENTAVEL;1983;CR11 LAGOA SANTA/MG;41784;CERRADO;;;1585.40;;;;;
9;0000.00.0004;AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO SAO BARTOLOMEU;APA;AREA DE PROTECAO AMBIENTAL;USO SUSTENTAVEL;1983;CR11 LAGOA SANTA/MG;82681;CERRADO;;;1620.00;;;;;
10;0000.00.0005;AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO SAO JOAO   MICO LEAO DOURADO;APA;AREA DE PROTECAO AMBIENTAL;USO SUSTENTAVEL;2002;CR8 RIO DE JANEIRO/RJ;150375;MATA ATLANTICA;;;;;;;;
11;0000.00.0006;AREA DE PROTECAO AMBIENTAL DA BALEIA FRANCA;APA;AREA DE PROTECAO AMBIENTAL;USO SUSTENTAVEL;2000;CR9 FLORIANOPOLIS/SC;154867;MARINHO COSTEIRO;;;;;;;;
12;0000.00.0025;AREA DE PROTECAO AMBIENTAL DAS ILHAS E VARZEAS DO RIO PARANA;APA;AREA DE PROTECAO AMBIENTAL;USO SUSTENTAVEL;1997;CR9 FLORIANOPOLIS/SC;1005188;MATA ATLANTICA;;;5972.30;;;;;14447.00
13;0000.00.0028;AREA DE PROTECAO AMBIENTAL DAS NASCENTES DO RIO VERMELHO;APA;AREA DE PROTECAO AMBIENTAL;USO SUSTENTAVEL;2001;CR11 LAGOA SANTA/MG;176324;CERRADO;;;7592.30;;;;;
14;0000.00.0013;AREA DE PROTECAO AMBIENTAL DE CAIRUCU;APA;AREA DE PROTECAO AMBIENTAL;USO SUSTENTAVEL;1983;CR8 RIO DE JANEIRO/RJ;32611;MARINHO COSTEIRO;;;;;;;;
