;codigo_da_uc;nome_da_uc;grupo;criacao;area_geo;bioma;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;acum 1997
0;0000.00.0020;AREA DE PROTECAO AMBIENTAL CARSTE DA LAGOA SANTA;USO SUSTENTAVEL;1990;39957;CERRADO;10.1378;5.2;1.7;55.1;5.4;28.4;180.7;160.7;66.6;66.6;30.6;30.6;218.7;218.7;293.4;293.4;390.7;390.7;333.1;333.1;24379.8;
1;0000.00.0002;AREA DE PROTECAO AMBIENTAL CAVERNAS DO PERUACU;USO SUSTENTAVEL;1989;143356;CERRADO;25.9009;8.7;27.0;90.3;15.5;95.8;174.5;496.1;562.0;562.0;522.1;522.1;127.9;127.9;1455.2;1455.2;1442.0;1442.0;824.0;824.0;7048.6;
2;0000.00.0003;AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO DESCOBERTO;USO SUSTENTAVEL;1983;41784;CERRADO;16.9189;6.1;34.8;47.3;27.5;15.1;242.1;44.5;28.7;28.7;40.8;40.8;60.7;60.7;133.1;133.1;424.5;424.5;35.2;35.2;24411.4;
3;0000.00.0004;AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO SAO BARTOLOMEU;USO SUSTENTAVEL;1983;82681;CERRADO;75.1749;80.5;185.9;65.2;32.9;100.7;291.7;336.4;129.9;129.9;562.1;562.1;114.4;114.4;521.3;521.3;1970.2;1970.2;110.9;110.9;40247.2;
4;0000.00.0028;AREA DE PROTECAO AMBIENTAL DAS NASCENTES DO RIO VERMELHO;USO SUSTENTAVEL;2001;176324;CERRADO;904.0274;2028.6;1403.0;878.2;767.8;882.2;1316.0;999.9;1202.9;1202.9;1195.9;1195.9;1384.5;1384.5;1268.6;1268.6;5743.6;5743.6;903.9;903.9;14315.6;
5;0000.00.0019;AREA DE PROTECAO AMBIENTAL DELTA DO PARNAIBA;USO SUSTENTAVEL;1996;307595;MARINHO-COSTEIRO;549.8499;639.2;894.0;502.1;527.8;660.8;1201.1;581.7;573.4;573.4;568.8;568.8;1730.6;1730.6;997.1;997.1;2091.4;2091.4;1186.1;1186.1;4751.2;
6;0000.00.0022;AREA DE PROTECAO AMBIENTAL DO IGARAPE GELADO;USO SUSTENTAVEL;1989;23285;AMAZONIA;23.7543;9.8;;;0.1;;;9.9;;;10.9;;123.1;79.6;66.1;186.7;230.8;81.4;202.7;87.1;1326.3;6436.6
7;0000.00.0023;AREA DE PROTECAO AMBIENTAL DO PLANALTO CENTRAL;USO SUSTENTAVEL;2002;503423;CERRADO;579.7564;185.0;634.1;521.3;324.2;513.3;1673.2;2194.2;599.9;599.9;667.6;667.6;896.7;896.7;2694.5;2694.5;8093.5;8093.5;1198.0;1198.0;199766.9;
8;0000.00.0268;AREA DE PROTECAO AMBIENTAL DO TAPAJOS;USO SUSTENTAVEL;2006;2040331;AMAZONIA;6963.785;6552.0;3994.8;3229.7;3144.0;3437.9;2843.1;3170.2;2267.6;1356.1;854.3;1530.0;1668.0;1805.3;669.8;1625.2;5051.8;6397.5;1193.5;1346.6;5876.4;44665.9
9;0000.00.3407;AREA DE PROTECAO AMBIENTAL DOS CAMPOS DE MANICORE;USO SUSTENTAVEL;2016;151993;AMAZONIA;;40.5;11.2;26.8;11.6;;;;;;;;;;;;;;;;;
