ano;esfera_administrativa;cnuc;nome_da_uc;uf;municipios_abrangidos;latitude;longitude;bioma;area_soma_bioma_(ha);grau_de_efetividade;calculo_efetividade;calculo_resultados;calculo_produtos;calculo_contexto;calculo_planejamento;calculo_insumos;calculo_processo
2019;Estadual;0000.26.1928;AREA DE PROTECAO AMBIENTAL ALDEIA-BEBERIBE;PE;Abreu e Lima (PE), Araçoiaba (PE), Camaragibe (PE), Igarassu (PE), Paudalho (PE), Paulista (PE), Recife (PE), São Lourenço da Mata (PE);-7,892714595;-35,02265841;MATA ATLANTICA;31662;3 - Moderada Efetividade;0.531712096;0.76367188;0.65104167;0.25;0.52715645;0.5625;0.53125
2020;Estadual;0000.26.1928;AREA DE PROTECAO AMBIENTAL ALDEIA-BEBERIBE;PE;Abreu e Lima (PE), Araçoiaba (PE), Camaragibe (PE), Igarassu (PE), Paudalho (PE), Paulista (PE), Recife (PE), São Lourenço da Mata (PE);-7,892714595;-35,02265841;MATA ATLANTICA;31662;3 - Moderada Efetividade;0.489773039;0.58849862;0.64930556;0.375;0.34194514;0.5625;0.46875
2020;Federal;0000.00.0001;AREA DE PROTECAO AMBIENTAL ANHATOMIRIM;SC;Governador Celso Ramos (SC);-27,40934344;-48,56924895;MARINHO;4437;3 - Moderada Efetividade;0.562731833;0.55324074;0.58611111;0.375;0.53612796;0.82916667;0.55357143
2018;Federal;0000.00.0001;AREA DE PROTECAO AMBIENTAL ANHATOMIRIM;SC;Governador Celso Ramos (SC);-27,40934344;-48,56924895;MARINHO;4437;3 - Moderada Efetividade;0.556212773;0.65740741;0.6328125;0.47916667;0.46396439;0.525;0.59375
2019;Federal;0000.00.0001;AREA DE PROTECAO AMBIENTAL ANHATOMIRIM;SC;Governador Celso Ramos (SC);-27,40934344;-48,56924895;MARINHO;4437;3 - Moderada Efetividade;0.553569871;0.51427469;0.63141026;0.33333333;0.48968492;0.78125;0.63541667
2020;Estadual;0000.29.0321;AREA DE PROTECAO AMBIENTAL BACIA DO COBRE / SAO BARTOLOMEU;BA;Simões Filho (BA), Salvador (BA);-12,87211574;-38,45488839;MATA ATLANTICA;1171;4 - Reduzida Efetividade;0.397783384;0.45833333;0.55092593;0.29166667;0.16666667;0.55147059;0.46875
2019;Estadual;0000.29.0321;AREA DE PROTECAO AMBIENTAL BACIA DO COBRE / SAO BARTOLOMEU;BA;Simões Filho (BA), Salvador (BA);-12,87211574;-38,45488839;MATA ATLANTICA;1171;4 - Reduzida Efetividade;0.380226204;0.4375;0.56944444;0.23958333;0.19553377;0.55;0.390625
2018;Estadual;0000.29.0321;AREA DE PROTECAO AMBIENTAL BACIA DO COBRE / SAO BARTOLOMEU;BA;Simões Filho (BA), Salvador (BA);-12,87211574;-38,45488839;MATA ATLANTICA;1171;4 - Reduzida Efetividade;0.332753203;0.1875;0.523809;0.05952375;0.57790404;0.58;0.484375
2020;Federal;0000.00.1521;AREA DE PROTECAO AMBIENTAL BACIA DO PARAIBA DO SUL;SP;Aparecida (SP);-23,10642926;-45,65220776;MATA ATLANTICA;292598;3 - Moderada Efetividade;0.510547847;0.58712121;0.5327381;0.35416667;0.40804829;0.64338235;0.5703125
2019;Federal;0000.00.1521;AREA DE PROTECAO AMBIENTAL BACIA DO PARAIBA DO SUL;SP;Aparecida (SP);-23,10642926;-45,65220776;MATA ATLANTICA;292598;3 - Moderada Efetividade;0.426104811;0.48958333;0.46969697;0.29166667;0.2113772;0.65625;0.5234375
