;codigo_da_uc;nome_da_uc;indicador_falso_positivo_norm
0;0000.00.0266;FLORESTA NACIONAL DO JAMANXIM;8.587683178942072
1;0000.00.0222;RESERVA EXTRATIVISTA CHICO MENDES;5.308346283963622
2;0000.00.0268;AREA DE PROTECAO AMBIENTAL DO TAPAJOS;5.019192553339605
3;0000.00.0083;FLORESTA NACIONAL DE ALTAMIRA;3.9519213075917956
4;0000.00.0216;RESERVA BIOLOGICA NASCENTES DA SERRA DO CACHIMBO;1.7738720725628019
5;0000.00.1517;RESERVA EXTRATIVISTA DO ALTO JURUA;1.4727426009441051
6;0000.00.0047;ESTACAO ECOLOGICA DA TERRA DO MEIO;1.0808779958845545
7;0000.00.0116;FLORESTA NACIONAL DO BOM FUTURO;0.681128670138738
8;0000.00.0096;FLORESTA NACIONAL DE ITAITUBA II;0.6244731670476052
9;0000.00.0028;AREA DE PROTECAO AMBIENTAL DAS NASCENTES DO RIO VERMELHO;0.45425452434567304
10;0000.00.0260;RESERVA EXTRATIVISTA VERDE PARA SEMPRE;0.4455465495483129
11;0000.00.0267;PARQUE NACIONAL DO JAMANXIM;0.38869438901229975
12;0000.00.0271;FLORESTA NACIONAL DO AMANA;0.37952081838503954
13;0000.00.0287;RESERVA EXTRATIVISTA LAGO DO CEDRO;0.34847385897137106
14;0000.00.0019;AREA DE PROTECAO AMBIENTAL DELTA DO PARNAIBA;0.19410031932103033
15;0000.00.0232;RESERVA EXTRATIVISTA DO CAZUMBA IRACEMA;0.1754739777712691
16;0000.00.0012;AREA DE PROTECAO AMBIENTAL SERRA DA TABATINGA;0.172547949625321
17;0000.00.0023;AREA DE PROTECAO AMBIENTAL DO PLANALTO CENTRAL;0.15521464502711002
18;0000.00.0284;PARQUE NACIONAL DOS CAMPOS AMAZONICOS;0.1381079656721388
19;0000.00.0149;PARQUE NACIONAL DA SERRA DO DIVISOR;0.1296956042225688
