nome_da_uc;nota_pessoal_mean;nota_pessoal_std;nota_equipamento_mean;nota_equipamento_std;nota_capacidade_mean;nota_capacidade_std;nota_recurso_mean;nota_recurso_std;nota_apoio_mean;nota_apoio_std;cnuc;bioma
AREA DE PROTECAO AMBIENTAL ALDEIA-BEBERIBE;0.4722222222222222;0.18959881966484035;0.625;0.1767766952966369;0.5277777777777778;0.14574577203253436;0.625;0.2745316868028599;0.5555555555555556;0.10694815798662465;0000.26.1928;MATA ATLANTICA
AREA DE PROTECAO AMBIENTAL ANHATOMIRIM;0.8;0.140152977645347;0.8;0.140152977645347;0.9166666666666666;0.12198750911856666;0.8;0.19364916731037085;0.23333333333333334;0.2749458821208968;0000.00.0001;MARINHO
AREA DE PROTECAO AMBIENTAL BACIA DO COBRE / SAO BARTOLOMEU;0.4411764705882353;0.3369139792465797;0.6470588235294118;0.35420270866204484;0.6470588235294118;0.33141297322755703;0.47058823529411764;0.4228101019996343;0.22058823529411764;0.21437323142813605;0000.29.0321;MATA ATLANTICA
AREA DE PROTECAO AMBIENTAL BACIA DO PARAIBA DO SUL;0.6029411764705882;0.23483410915693106;0.6617647058823529;0.17547205240855474;0.6764705882352942;0.21221867190679133;0.6323529411764706;0.23581055457094963;0.25;0.25;0000.00.1521;MATA ATLANTICA
AREA DE PROTECAO AMBIENTAL BACIA DO RIO DE JANEIRO;0.5416666666666666;0.3679900360969936;0.7916666666666666;0.18819316317727025;0.75;0.15811388300841897;0.8333333333333334;0.30276503540974914;0.25;0.15811388300841897;0000.29.0305;CERRADO
AREA DE PROTECAO AMBIENTAL BAIA DE CAMAMU;0.25;;0.75;;0.75;;0.0;;0.0;;0000.29.0328;MATA ATLANTICA
AREA DE PROTECAO AMBIENTAL BAIA DE TODOS OS SANTOS;0.96875;0.08838834764831845;0.96875;0.08838834764831845;1.0;0.0;0.875;0.2672612419124244;0.0625;0.11572751247156893;0000.29.0320;MATA ATLANTICA
AREA DE PROTECAO AMBIENTAL BARRA DO RIO MAMANGUAPE;0.3076923076923077;0.10963225241337865;0.4423076923076923;0.18125276302049603;0.6346153846153846;0.19406250645154619;0.3076923076923077;0.18125276302049606;0.19230769230769232;0.18125276302049606;0000.00.0007;MATA ATLANTICA
AREA DE PROTECAO AMBIENTAL CAMINHOS ECOLOGICOS DA BOA ESPERANCA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0000.29.0301;MATA ATLANTICA
AREA DE PROTECAO AMBIENTAL CARAIVA/ TRANCOSO;0.625;0.14433756729740643;0.8125;0.23935677693908453;0.9375;0.125;0.6875;0.4732423621500228;0.25;0.2041241452319315;0000.29.0310;MATA ATLANTICA
AREA DE PROTECAO AMBIENTAL CARSTE DA LAGOA SANTA;0.6;0.21081851067789195;0.825;0.20581815058714115;0.975;0.07905694150420949;0.7;0.3073181485764296;0.175;0.2898754521821014;0000.00.0020;CERRADO
AREA DE PROTECAO AMBIENTAL CAVERNAS DO PERUACU;0.2875;0.09158688713313082;0.6375;0.189788663629062;0.675;0.20032867729650794;0.3125;0.26748093881915946;0.375;0.22213082915965965;0000.00.0002;CERRADO
AREA DE PROTECAO AMBIENTAL CHAPADA DO ARARIPE;0.475;0.24197651038674675;0.8;0.22360679774997896;0.8125;0.21267407730585014;0.6625;0.32721914433763294;0.35;0.2051956704170308;0000.00.0008;CAATINGA
AREA DE PROTECAO AMBIENTAL COSTA DAS ALGAS;0.39705882352941174;0.25091743427575813;0.8529411764705882;0.1988015563911143;0.7352941176470589;0.1868862503991005;0.6764705882352942;0.46573787123862104;0.29411764705882354;0.3334864844249579;0000.00.1912;MARINHO
AREA DE PROTECAO AMBIENTAL COSTA DE ITACARE/ SERRA GRANDE;0.42857142857142855;0.31339158526400435;0.35714285714285715;0.2834733547569204;0.8571428571428571;0.1336306209562122;0.25;0.28867513459481287;0.5;0.3535533905932738;0000.29.0309;MATA ATLANTICA
AREA DE PROTECAO AMBIENTAL COSTA DOS CORAIS;0.6125;0.1715831852883149;0.675;0.23084512921915964;0.825;0.16423667133294656;0.7375;0.286482754142466;0.4125;0.20318192522181222;0000.00.0009;MARINHO
AREA DE PROTECAO AMBIENTAL DA ARARINHA AZUL;0.55;0.270581384641083;0.6833333333333333;0.19970215917949508;0.7333333333333333;0.1759328876372492;0.6166666666666667;0.2968084198523318;0.2833333333333333;0.1599851183555461;0000.00.3696;CAATINGA
AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO DESCOBERTO;0.3125;0.15539539012701525;0.7083333333333334;0.09731236802019039;0.7083333333333334;0.14433756729740646;0.4791666666666667;0.2709061673627079;0.5416666666666666;0.27866021451135636;0000.00.0003;CERRADO
AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO SAO BARTOLOMEU;0.25;;0.0;;0.25;;0.0;;0.0;;0000.00.0004;CERRADO
AREA DE PROTECAO AMBIENTAL DA BACIA DO RIO SAO JOAO - MICO LEAO;0.44642857142857145;0.2004459314343183;0.9821428571428571;0.06681531047810609;0.9642857142857143;0.0907841299003204;0.7678571428571429;0.332014331744153;0.21428571428571427;0.29183014779976924;0000.00.0005;MATA ATLANTICA
AREA DE PROTECAO AMBIENTAL DA BACIA DOS RIBEIROES DO GAMA E CABECA DE VEADO;0.25;;0.25;;0.25;;0.25;;0.0;;0000.53.1639;CERRADO
AREA DE PROTECAO AMBIENTAL DA BALEIA FRANCA;0.75;0.16222142113076254;0.8625;0.2625156636930652;0.9625;0.09158688713313082;0.9375;0.11106541457982984;0.475;0.19701723141310307;0000.00.0006;MARINHO
AREA DE PROTECAO AMBIENTAL DA BICA DO IPU;0.6111111111111112;0.37595195076105903;0.8888888888888888;0.24588110203891078;0.6388888888888888;0.37595195076105903;0.625;0.41346811527969257;0.041666666666666664;0.09587062360592132;0000.23.0954;CAATINGA
AREA DE PROTECAO AMBIENTAL DA FAZENDINHA;0.5714285714285714;0.12198750911856664;0.5357142857142857;0.09449111825230683;0.7142857142857143;0.09449111825230681;0.39285714285714285;0.3181045051401759;0.42857142857142855;0.1889822365046136;0000.16.0886;AMAZONIA
